,<in_cm / None>,<None / v_fz>,<in_diff / None>,out_diff,out_cm,outp,outn,inp,inn,mode_id
0,0.902950601121718,0.42579150855767894,-0.04009854393473297,-0.07629034844723992,1.2983226037456377,1.2601774295220176,1.3364677779692575,0.8829013291543515,0.9229998730890845,()
1,0.901859667249629,0.4159636229631016,-0.01496022463787313,-0.028966103261694798,1.2985000722100173,1.2840170205791699,1.3129831238408647,0.8943795549306924,0.9093397795685655,()
2,0.9115564829955087,0.6041040408440359,0.019129065062635967,0.027816399278649984,1.2985074230146112,1.3124156226539363,1.2845992233752863,0.9211210155268267,0.9019919504641908,()
3,0.9034412099325935,0.538069601798459,0.03191706608603627,0.050856135288602555,1.298503237157829,1.3239313048021302,1.2730751695135276,0.9193997429756116,0.8874826768895754,()
4,0.9023129775574964,0.6765458231078825,-0.044854389618106005,-0.05956820809741936,1.2985001354250725,1.2687160313763628,1.3282842394737822,0.8798857827484434,0.9247401723665494,()
5,0.9112747563142806,0.8589408117068207,-0.004640343679144239,-0.0050696411950912346,1.298506457121667,1.2959716365241214,1.3010412777192126,0.9089545844747084,0.9135949281538527,()
6,0.9096042544661582,0.7044901921444251,0.00743639897518885,0.009549167039205386,1.2984995466985725,1.3032741302181752,1.2937249631789698,0.9133224539537527,0.9058860549785638,()
7,0.9076427804217182,0.8310168359533179,0.04651156059179233,0.052049606084035194,1.2984980783154205,1.3245228813574381,1.272473275273403,0.9308985607176143,0.884387000125822,()
8,0.9104804313865702,0.9216795631587303,-0.034065406674442765,-0.034941557877796514,1.2984994245186319,1.2810286455797337,1.3159702034575302,0.8934477280493488,0.9275131347237916,()
9,0.9073736116521318,1.0314289061704995,-0.020910825992461957,-0.019449696058238874,1.298500747554148,1.2887758995250285,1.3082255955832673,0.8969181986559008,0.9178290246483628,()
10,0.9055519091568887,0.9305496276710397,0.023495532369697883,0.023866193473506936,1.2984979274855768,1.3104310242223303,1.2865648307488233,0.9172996753417376,0.8938041429720397,()
11,0.9105583891912956,1.0504805513091517,0.032905652010186456,0.030121816379232502,1.2984993257754327,1.313560233965049,1.2834384175858164,0.9270112151963888,0.8941055631862024,()
12,0.9094076568811955,1.2930917004214728,-0.027589020722666627,-0.021035595761404124,1.2985006991811971,1.287982901300495,1.3090184970618992,0.8956131465198622,0.9232021672425288,()
13,0.9085882645293418,1.2720093700798603,-0.013893187051101895,-0.010740790627633334,1.29850028944861,1.2931298941347933,1.3038706847624266,0.9016416710037909,0.9155348580548928,()
14,0.905294018597045,1.2491398939774605,0.003549053334675388,0.002789902202589456,1.2985015854287292,1.299896536530024,1.2971066343274344,0.9070685452643826,0.9035194919297073,()
15,0.9035255579821637,1.3587703100996165,0.025951246319589477,0.018909003580114936,1.2985001709496387,1.3079546727396962,1.2890456691595813,0.9165011811419584,0.890549934822369,()
16,0.9130790249875439,0.5615336565633797,-0.04311090255605941,-0.0664769438033419,1.29849764118439,1.265259169282719,1.331736113086061,0.8915235737095142,0.9346344762655736,()
17,0.919415461538553,0.5142480172229986,-0.016800291426134727,-0.02775026252578816,1.2985009164952812,1.284625785232387,1.3123760477581752,0.9110153158254857,0.9278156072516204,()
18,0.9249687070529793,0.45715896392332994,0.010668687784553835,0.01925246278952386,1.2985017876215388,1.3081280190163007,1.2888755562267769,0.9303030509452562,0.9196343631607024,()
19,0.9152293767778964,0.5738796967223835,0.03380240153415334,0.05122077384942014,1.2985003970909124,1.3241107840156225,1.2728900101662024,0.9321305775449731,0.8983281760108197,()
20,0.9172362229233773,0.8268579630079971,-0.04158662193500516,-0.04678355152331459,1.2984996646480125,1.2751078888863552,1.3218914404096698,0.8964429119558747,0.9380295338908798,()
21,0.9200852898358339,0.8808630203061316,-0.022980411225642813,-0.02449533591308417,1.2984989798847506,1.2862513119282086,1.3107466478412928,0.9085950842230125,0.9315754954486554,()
22,0.9135852972993816,0.7134851936453652,0.018303244826525525,0.023253966985574026,1.2984948074129439,1.310121790905731,1.286867823920157,0.9227369197126444,0.9044336748861189,()
23,0.9210388886761582,0.7227350905685586,0.0356213399074347,0.04481496245308625,1.2985006395415244,1.3209081207680675,1.2760931583149813,0.9388495586298756,0.9032282187224409,()
24,0.9155090873947207,1.016393937955737,-0.04918658743214163,-0.046365067267566173,1.2985004035752477,1.2753178699414647,1.3216829372090309,0.8909157936786499,0.9401023811107915,()
25,0.9220783350516921,1.1291855558223645,-0.0008599856314954399,-0.0007304745114697919,1.2985001873406286,1.2981349500848938,1.2988654245963636,0.9216483422359444,0.9225083278674399,()
26,0.9225115846735544,1.1423748424064606,0.0003455629805728458,0.00029184317550434713,1.2985018560198145,1.2986477776075667,1.2983559344320623,0.9226843661638409,0.922338803183268,()
27,0.9165229752753059,1.133881216254262,0.044729549269277816,0.03828185764864123,1.298494996964279,1.3176359257885994,1.2793540681399582,0.9388877499099448,0.894158200640667,()
28,0.9181677799269476,1.388094757144126,-0.03283081151365648,-0.023496520937463794,1.2984999575309852,1.2867516970622535,1.3102482179997172,0.9017523741701194,0.9345831856837759,()
29,0.9234075668041896,1.2086820507313751,-0.019554526313442695,-0.015826792125092748,1.2984979591800785,1.2905845631175321,1.3064113552426249,0.9136303036474682,0.9331848299609109,()
30,0.9179427823171464,1.175923149045624,0.009869423425037972,0.008177517943553259,1.2984979693758667,1.3025867283476433,1.29440921040409,0.9228774940296655,0.9130080706046274,()
31,0.9243090681120345,1.2296353012558534,0.02616913639411217,0.020860303221133636,1.2984993416503232,1.3089294932608901,1.2880691900397565,0.9373936363090906,0.9112244999149784,()
